USDMXN.X.Open,USDMXN.X.High,USDMXN.X.Low,USDMXN.X.Close,USDMXN.X.Volume,USDMXN.X.Adjusted
10.771,10.7735,10.703,10.7275,0,10.7275
10.707,10.747,10.67,10.6965,0,10.6965
10.6965,10.705,10.64,10.6662,0,10.6662
10.6703,10.7299,10.647,10.722,0,10.722
10.71,10.7305,10.668,10.668,0,10.668
10.692,10.7273,10.657,10.7125,0,10.7125
10.7125,10.7155,10.671,10.6945,0,10.6945
10.693,10.8441,10.671,10.8412,0,10.8412
10.817,10.8939,10.793,10.797,0,10.797
10.805,10.8555,10.795,10.8422,0,10.8422
10.8503,10.8503,10.755,10.755,0,10.755
10.7523,10.7991,10.737,10.7627,0,10.7627
10.743,10.802,10.723,10.7406,0,10.7406
10.7486,10.7767,10.703,10.763,0,10.763
10.737,10.832,10.737,10.751,0,10.751
10.751,10.7742,10.65,10.675,0,10.675
10.656,10.7227,10.647,10.717,0,10.717
10.7184,10.7357,10.68,10.7122,0,10.7122
10.697,10.728,10.693,10.728,0,10.728
10.706,10.728,10.639,10.6795,0,10.6795
10.6795,10.698,10.654,10.692,0,10.692
10.6957,10.712,10.657,10.6945,0,10.6945
10.7021,10.7036,10.665,10.6898,0,10.6898
10.6915,10.7071,10.663,10.692,0,10.692
10.6952,10.6975,10.611,10.6355,0,10.6355
NA,NA,NA,NA,NA,NA
10.5543,10.597,10.527,10.567,0,10.567
10.544,10.5876,10.528,10.5537,0,10.5537
10.552,10.5718,10.513,10.562,0,10.562
10.539,10.5623,10.504,10.549,0,10.549
10.528,10.5688,10.526,10.5615,0,10.5615
10.5613,10.5755,10.519,10.568,0,10.568
10.5705,10.588,10.505,10.51,0,10.51
10.5307,10.5525,10.498,10.522,0,10.522
10.499,10.546,10.429,10.447,0,10.447
10.454,10.491,10.423,10.4583,0,10.4583
10.457,10.4734,10.424,10.4578,0,10.4578
10.4618,10.4895,10.434,10.469,0,10.469
10.4697,10.4817,10.415,10.476,0,10.476
10.442,10.5393,10.437,10.5318,0,10.5318
10.5318,10.5403,10.456,10.4851,0,10.4851
10.4852,10.4944,10.444,10.4648,0,10.4648
10.4654,10.4819,10.409,10.4335,0,10.4335
10.411,10.4784,10.41,10.465,0,10.465
10.439,10.4769,10.418,10.4708,0,10.4708
10.4728,10.5436,10.453,10.538,0,10.538
10.5385,10.5395,10.4561,10.4895,0,10.4895
NA,NA,NA,NA,NA,NA
10.486,10.4901,10.428,10.453,0,10.453
10.437,10.48,10.437,10.4747,0,10.4747
10.454,10.5063,10.451,10.4993,0,10.4993
10.5004,10.5611,10.477,10.5463,0,10.5463
10.5497,10.5851,10.51,10.5745,0,10.5745
10.5677,10.5837,10.532,10.54,0,10.54
10.542,10.565,10.452,10.475,0,10.475
10.477,10.499,10.442,10.4725,0,10.4725
10.4735,10.5105,10.454,10.4827,0,10.4827
10.4888,10.496,10.42,10.4465,0,10.4465
10.4445,10.463,10.365,10.365,0,10.365
10.3961,10.405,10.344,10.374,0,10.374
10.374,10.4097,10.359,10.3847,0,10.3847
10.3828,10.3936,10.333,10.3708,0,10.3708
10.3697,10.3957,10.334,10.3597,0,10.3597
10.361,10.4086,10.345,10.39,0,10.39
10.36,10.4014,10.357,10.3912,0,10.3912
10.394,10.4037,10.355,10.3834,0,10.3834
10.359,10.389,10.3,10.3218,0,10.3218
10.298,10.3379,10.271,10.3249,0,10.3249
10.3217,10.338,10.29,10.3,0,10.3
