GC.F.Open,GC.F.High,GC.F.Low,GC.F.Close,GC.F.Volume,GC.F.Adjusted
938.799988,944.799988,933.099976,944.799988,58,944.799988
NA,NA,NA,NA,NA,NA
931.400024,931.400024,915.400024,927.299988,141,927.299988
922.799988,922.799988,919.200012,921.900024,37,921.900024
919.799988,928.200012,919.799988,927.299988,31,927.299988
928.099976,942.099976,928.099976,940.900024,18,940.900024
948.200012,965.700012,948.200012,959.5,58,959.5
964.700012,974.599976,955,972.700012,55,972.700012
983.5,986.200012,976,977.700012,12,977.700012
960,960,960,961.799988,1,961.799988
957.299988,976.200012,957.299988,970,37,970
956.799988,957,956.799988,957.299988,2,957.299988
964.5,964.5,963.5,963.099976,2,963.099976
973,974.900024,973,948,3,948
935,935,924.200012,922.400024,203,922.400024
920.900024,926.400024,920.900024,922,47,922
928.400024,929.200012,921.200012,926.599976,35,926.599976
928.799988,931.099976,927,927.599976,28,927.599976
916.200012,917.700012,916.200012,916.400024,147310,916.400024
917.900024,919.099976,893.299988,902.900024,93759,902.900024
906.900024,925.599976,906.099976,913.900024,8550,913.900024
904.900024,916.099976,902.099976,909,1834,909
912.700012,915.299988,894.400024,900.099976,2415,900.099976
895.400024,895.400024,873.299988,878.599976,790,878.599976
880.700012,885.599976,875,875.599976,1330,875.599976
882.200012,883.799988,870.299988,870.700012,335,870.700012
868.799988,869.5,851.099976,857.799988,303,857.799988
858.299988,863.400024,818,821.5,286,821.5
826.400024,826.400024,803.599976,808.200012,99,808.200012
810.900024,829.099976,810.900024,825,155,825
831.400024,831.900024,805,808.200012,67,808.200012
796.900024,799.200012,780.900024,786,134,786
792,801.700012,792,799.700012,22,799.700012
789.599976,814.5,789.599976,811.099976,48,811.099976
814.900024,814.900024,804.700012,810.299988,87,810.299988
825.799988,835.599976,825.799988,833,99,833
832.299988,836.599976,823.099976,827.400024,21,827.400024
819.799988,819.799988,819.799988,819.799988,44,819.799988
826,826,826,822.200012,142,822.200012
830.299988,830.299988,825.299988,828.099976,423,828.099976
828,842.599976,824.5,830.900024,503,830.900024
831.700012,833,831.700012,829.299988,116,829.299988
829.900024,840.700012,790.799988,805,185,805
805.599976,805.599976,791.599976,802.700012,28,802.700012
801.400024,809.099976,794.900024,797.900024,76,797.900024
794.700012,809,794,797.599976,85,797.599976
811,813.200012,796.400024,797.5,88,797.5
802,802,780,787.099976,29,787.099976
776.599976,781,752.799988,757.900024,56,757.900024
756.599976,756.599976,739,741.299988,25,741.299988
750.5,756,750.5,760.299988,12,760.299988
778.099976,778.599976,764,783.099976,19,783.099976
777.700012,777.700012,777,776.5,2,776.5
782.900024,808,782.900024,846.599976,26,846.599976
869.900024,910.900024,836,892.700012,59,892.700012
860.599976,860.599976,860.599976,860.599976,112,860.599976
888.799988,908.099976,888.799988,903.900024,20,903.900024
892.400024,898.900024,886,885.5,184,885.5
879.5,891.299988,879.5,889,185,889
891.5,891.5,884.5,877.700012,92,877.700012
884.200012,890.200012,884.200012,882.900024,13695,882.900024
871.299988,919,866.400024,888.200012,2943,888.200012
904.799988,912.5,855,874.200012,879,874.200012
878,889.099976,869.200012,880.700012,304,880.700012
870.400024,870.400024,829.299988,839,462,839
832.5,844.299988,823,828.900024,228,828.900024
828.799988,868.799988,826,862.700012,510,862.700012
862.099976,883,858.200012,878.400024,41,878.400024
879.700012,915.5,877.700012,903.099976,310,903.099976
902.700012,919.700012,883,883.099976,76,883.099976
925.700012,925.700012,843,855.400024,104,855.400024
861.099976,861.099976,830.299988,838.900024,186,838.900024
848.099976,848.099976,833.5,836.299988,48,836.299988
839.5,848.700012,831.599976,835.5,120,835.5
846,846,790,801.5,34,801.5
798,807,773.799988,785.099976,55,785.099976
803.799988,803.799988,787.5,787.599976,19,787.599976
793.700012,793.700012,767.700012,766.099976,83,766.099976
771.700012,771.700012,721,733.299988,244,733.299988
705,719.799988,705,713.299988,37,713.299988
715.299988,734.200012,681,729.099976,99,729.099976
742.799988,744.5,712,741.700012,268,741.700012
731,748.799988,730.599976,739.299988,6,739.299988
